name,category,pid,price,image,description,rating,brand
"Indian Traditional Handicraft, For Decorative, 12""",Indian Handicrafts,24159926462,₹ 390,//5.imimg.com/data5/SELLER/Default/2021/11/BQ/CO/YY/77706935/p9-500x500.png,Hand Weaven Sabai Grass Wall Plate,4.5,Sigmascott Private Limited
"Indian Traditional Handicraft Golden Grass Tray, For Decorative, 8""x2""",Indian Handicrafts,24323869212,₹ 399,//5.imimg.com/data5/SELLER/Default/2021/12/VF/SK/GK/77706935/43w-500x500.png,"Durable and natural wicker material, environmentally friendly, and high-quality handwoven basket.",4.5,Sigmascott Private Limited
"Handmade Basket Weaving Indian Handicraft Supplier Golden Grass Mini Round Box, For Decorative, 3""X4""",Indian Handicrafts,24323811997,₹ 149,//5.imimg.com/data5/SELLER/Default/2021/12/IO/DU/MJ/77706935/48w-500x500.png,"Durable and natural wicker material, environmentally friendly, and high-quality handwoven basket.",4.5,Sigmascott Private Limited
"Multicolor Wooden Elephant Statue Handmade Enamel Work Decorative Showpiece, 8*4*8",Indian Handicrafts,22761403673,₹ 610,//5.imimg.com/data5/SELLER/Default/2020/10/QM/LK/KL/3800474/0x7a9129-500x500.jpg,"Wooden Elephant showpiece is one great decor nicely hand-painted with pretty eye catchy colors. The combination of multicolor with hand-painted cone work designs looks exquisite. This beautiful Elephant showpiece set is a result of skillful imagination of local artisans from India and it is entirely handcrafted with their efforts.            
Additional Information  Item Code  NHI0880   Delivery Time  2-3 days   Production Capacity  1000pcs   Packaging Details  Box packing",4.1,Nirmala Handicrafts
Indian Handicrafts,Indian Handicrafts,23216707162,₹ 350,//5.imimg.com/data5/SELLER/Default/2021/3/RJ/LQ/QO/113882459/polyresin-gift-500x500.jpg,Baldhari Exports,4.5,Baldhari Exports
Metal Camel Statue Meenakari Painting Indian Crafts Jaipur Rajasthani Handicrafts,Indian Handicrafts,22460979191,"₹ 2,000",//5.imimg.com/data5/YA/ML/ZI/SELLER-2656943/12inch-metal-camel-painting-500x500.jpg,Product Code  WEB CODE   MT 1022 12  We bring forth our vast industrial experience and expertise in this business  instrumental in providing 12Inch Metal Camel Painting,4.8,Shri Handicrafts
TWG Handicraft Mix Polyresin Decorative Ashirwad Buddha Statue,Buddha Statue,16310583730,₹ 290,//5.imimg.com/data5/SELLER/Default/2021/4/SR/SM/MZ/1069982/polyresin-decorative-ashirwad-buddha-statue-500x500.jpeg,"We are India's Trusted Manufacturer of Innovative Variety of Polyresin sculpture/ statues. We Craft Our All Product from Fine Quality Material, these showpiecies reflects the artistic brilliance and adds elegance to your Inside home and Office decor.# Lord Buddha in Ashirwad Sitting Position Statue.#",3.7,TWG HANDICRAFT
"Madhubani Hand Painted Pure Tussar Silk Long Dupatta., Cream,white",Tussar Silk Dupatta,24798317212,"₹ 3,000",//5.imimg.com/data5/SELLER/Default/2022/2/SX/VE/LN/34273507/img-20220206-wa0001-500x500.jpg,"Explore the collection of beautifully designed Madhubani hand painted pure tussar silk handloom vidarbha border long 2.5 mtrs dupatta width 36"", with silk mark tag. from Manisha Silk Weaves ,this piece is elegantly crafted which will surely add to your wardrobe. Pair this piece with heels or flats for a graceful look .",4.6,Manisha Silk  Weaves
Silk Embroidery Dupatta,Dupattas,21512930633,₹ 280,//5.imimg.com/data5/XU/OY/AC/ANDROID-38167341/product-jpeg-500x500.jpg,"Pire cotton silk dupatta best quality golden zari.work            
Additional Information  Delivery Time  3days   Packaging Details  best quality dupatta and golden zari work with embrodry work and comfortable wear dupatta",4.6,N. M. Enterprises
Sami Gota Work Bandani silk duppta,Silk Dupatta,22446610291,₹ 250,//5.imimg.com/data5/RU/EB/ZU/ANDROID-9025741/product-jpeg-500x500.jpg,Bandani gotta patti work duppta,5.0,Maviss Fashion
TWG Handicraft Multicolor Meditating Buddha Statue Sitting on Lotus,Buddha Statue,16313158088,"₹ 2,100",//5.imimg.com/data5/SELLER/Default/2021/4/EV/MH/PD/1069982/buddha-decorative-statue-500x500.jpeg,"We are Best Known Manufacturer of Innovative Variety of Polyresin sculpture/ statues. We Craft Our All Product from Fine Quality Material, these showpiecies reflects the artistic brilliance and adds elegance to your home and Office decor.#This decorative Buddha Sitting on Lotus will be a peaceful addition to your garden or home.#",3.7,TWG HANDICRAFT
